ID,rodata,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
7690,5.0,Atletico-GO,Goias,Goias,0,1
7691,5.0,Bragantino,Corinthians,Corinthians,0,1
7692,5.0,Santos,Cuiaba,Santos,4,1
7694,5.0,Fortaleza,Sao Paulo,-,1,1
7693,5.0,Juventude,Internacional,-,1,1
7695,5.0,Avai,Coritiba,Avai,2,1
7696,7.0,Bragantino,Atletico-MG,-,1,1
7706,6.0,Palmeiras,Bragantino,Palmeiras,2,0
7707,6.0,Ceara,Flamengo,-,2,2
7709,6.0,Atletico-MG,Atletico-GO,Atletico-MG,2,0
7708,6.0,Internacional,Corinthians,-,2,2
7710,6.0,Fluminense,Athletico-PR,Fluminense,2,1
7711,6.0,Sao Paulo,Cuiaba,Sao Paulo,2,1
7712,6.0,Coritiba,America-MG,Coritiba,1,0
7713,6.0,Botafogo-RJ,Fortaleza,Botafogo-RJ,3,1
7714,6.0,Avai,Juventude,Juventude,1,2
7715,6.0,Goias,Santos,Goias,1,0
7697,7.0,Atletico-GO,Coritiba,Atletico-GO,2,0
7698,7.0,Flamengo,Goias,Flamengo,1,0
7699,7.0,Santos,Ceara,-,0,0
7700,7.0,Juventude,Palmeiras,Palmeiras,0,3
7701,7.0,Cuiaba,Internacional,-,1,1
7702,7.0,America-MG,Botafogo-RJ,-,1,1
7704,7.0,Fortaleza,Fluminense,Fluminense,0,1
7703,7.0,Corinthians,Sao Paulo,-,1,1
7705,7.0,Athletico-PR,Avai,Athletico-PR,2,1
7716,8.0,Goias,Bragantino,-,1,1
7717,8.0,Sao Paulo,Ceara,-,2,2
7718,8.0,Fortaleza,Juventude,-,1,1
7720,8.0,Santos,Palmeiras,Palmeiras,0,1
7719,8.0,Coritiba,Botafogo-RJ,Coritiba,1,0
7721,8.0,Cuiaba,Athletico-PR,Athletico-PR,0,1
7722,8.0,Corinthians,America-MG,-,1,1
7723,8.0,Fluminense,Flamengo,Flamengo,1,2
7724,8.0,Atletico-MG,Avai,Atletico-MG,2,1
7725,8.0,Internacional,Atletico-GO,-,1,1
7685,3.0,Fortaleza,Ceara,Ceara,0,1
7726,9.0,America-MG,Cuiaba,America-MG,2,1
7728,9.0,Ceara,Coritiba,-,1,1
7727,9.0,Athletico-PR,Santos,-,2,2
7729,9.0,Avai,Sao Paulo,-,1,1
7730,9.0,Atletico-GO,Corinthians,Corinthians,0,1
7731,9.0,Juventude,Fluminense,Juventude,1,0
7732,9.0,Flamengo,Fortaleza,Fortaleza,1,2
7733,9.0,Palmeiras,Atletico-MG,-,0,0
7734,9.0,Bragantino,Internacional,Internacional,0,2
7735,9.0,Botafogo-RJ,Goias,Goias,1,2
7736,10.0,Cuiaba,Corinthians,Cuiaba,1,0
7737,10.0,America-MG,Ceara,Ceara,0,2
7738,10.0,Juventude,Athletico-PR,Athletico-PR,1,3
7739,10.0,Atletico-GO,Avai,Atletico-GO,2,1
7740,10.0,Bragantino,Flamengo,Bragantino,1,0
7741,10.0,Fluminense,Atletico-MG,Fluminense,5,3
7742,10.0,Santos,Internacional,-,1,1
7743,10.0,Palmeiras,Botafogo-RJ,Palmeiras,4,0
7744,10.0,Coritiba,Sao Paulo,-,1,1
7745,10.0,Fortaleza,Goias,-,1,1
7746,11.0,Corinthians,Juventude,Corinthians,2,0
7747,11.0,Atletico-MG,Santos,-,1,1
7749,11.0,Cuiaba,Bragantino,-,1,1
7748,11.0,Fluminense,Atletico-GO,Atletico-GO,0,2
7750,11.0,Internacional,Flamengo,Internacional,3,1
7751,11.0,Goias,Ceara,-,1,1
7752,11.0,Sao Paulo,America-MG,Sao Paulo,1,0
7753,11.0,Coritiba,Palmeiras,Palmeiras,0,2
7754,11.0,Fortaleza,Athletico-PR,-,0,0
7755,11.0,Botafogo-RJ,Avai,Avai,0,1
7756,12.0,Juventude,Santos,Santos,1,2
7757,12.0,Ceara,Atletico-MG,-,0,0
7758,12.0,Bragantino,Coritiba,Bragantino,4,2
7759,12.0,Goias,Internacional,Internacional,1,2
7760,12.0,Flamengo,Cuiaba,Flamengo,2,0
7762,12.0,America-MG,Fluminense,-,0,0
7761,12.0,Athletico-PR,Corinthians,-,1,1
7763,12.0,Botafogo-RJ,Sao Paulo,Botafogo-RJ,1,0
7764,12.0,Palmeiras,Atletico-GO,Palmeiras,4,2
7765,12.0,Avai,Fortaleza,Avai,3,2
7766,13.0,Cuiaba,Ceara,-,0,0
7767,13.0,Santos,Bragantino,-,2,2
7768,13.0,Atletico-MG,Flamengo,Atletico-MG,2,0
7769,13.0,Coritiba,Athletico-PR,Athletico-PR,0,1
7770,13.0,Corinthians,Goias,Corinthians,1,0
7771,13.0,Internacional,Botafogo-RJ,Botafogo-RJ,2,3
7772,13.0,Fortaleza,America-MG,Fortaleza,1,0
7773,13.0,Atletico-GO,Juventude,Atletico-GO,3,1
7774,13.0,Fluminense,Avai,Fluminense,2,0
7775,13.0,Sao Paulo,Palmeiras,Palmeiras,1,2
7776,14.0,Internacional,Coritiba,Internacional,3,0
7777,14.0,Athletico-PR,Bragantino,Athletico-PR,4,2
7778,14.0,Flamengo,America-MG,Flamengo,3,0
7779,14.0,Corinthians,Santos,-,0,0
7780,14.0,Atletico-MG,Fortaleza,Atletico-MG,3,2
7781,14.0,Avai,Palmeiras,-,2,2
7782,14.0,Botafogo-RJ,Fluminense,Fluminense,0,1
